Record_ID,Year,Paper,Row_Number,Source_Raw_Mark_or_Label,B1_Value,B2_Value,Other_Result,Source_File,Source_Region,Original_Row_Text,Visual_Confidence,Verification_Status,Notes
2012_1B_01,2012,1B,1,1B1 (easier),0,0,,2012.JPG,Table 1 (Paper 1B),0 -> 0,High,Verified,
2012_1B_02,2012,1B,2,1B1 (easier),1,1,,2012.JPG,Table 1 (Paper 1B),1 -> 1,High,Verified,
2012_1B_03,2012,1B,3,1B1 (easier),2,2,,2012.JPG,Table 1 (Paper 1B),2 -> 2,High,Verified,
2012_1B_04,2012,1B,4,1B1 (easier),3,2,,2012.JPG,Table 1 (Paper 1B),3 -> 2,High,Verified,
2012_1B_05,2012,1B,5,1B1 (easier),4,3,,2012.JPG,Table 1 (Paper 1B),4 -> 3,High,Verified,
2012_1B_06,2012,1B,6,1B1 (easier),5,4,,2012.JPG,Table 1 (Paper 1B),5 -> 4,High,Verified,
2012_1B_07,2012,1B,7,1B1 (easier),6,4,,2012.JPG,Table 1 (Paper 1B),6 -> 4,High,Verified,
2012_1B_08,2012,1B,8,1B1 (easier),7,5,,2012.JPG,Table 1 (Paper 1B),7 -> 5,High,Verified,
2012_1B_09,2012,1B,9,1B1 (easier),8,5,,2012.JPG,Table 1 (Paper 1B),8 -> 5,High,Verified,
2012_1B_10,2012,1B,10,1B1 (easier),9,6,,2012.JPG,Table 1 (Paper 1B),9 -> 6,High,Verified,
2012_1B_11,2012,1B,11,1B1 (easier),10,6,,2012.JPG,Table 1 (Paper 1B),10 -> 6,High,Verified,
2012_1B_12,2012,1B,12,1B1 (easier),11,7,,2012.JPG,Table 1 (Paper 1B),11 -> 7,High,Verified,
2012_1B_13,2012,1B,13,1B1 (easier),12,8,,2012.JPG,Table 1 (Paper 1B),12 -> 8,High,Verified,
2012_1B_14,2012,1B,14,1B1 (easier),13,8,,2012.JPG,Table 1 (Paper 1B),13 -> 8,High,Verified,
2012_1B_15,2012,1B,15,1B1 (easier),14,9,,2012.JPG,Table 1 (Paper 1B),14 -> 9,High,Verified,
2012_1B_16,2012,1B,16,1B1 (easier),15,10,,2012.JPG,Table 1 (Paper 1B),15 -> 10,High,Verified,
2012_1B_17,2012,1B,17,1B1 (easier),16,11,,2012.JPG,Table 1 (Paper 1B),16 -> 11,High,Verified,
2012_1B_18,2012,1B,18,1B1 (easier),17,12,,2012.JPG,Table 1 (Paper 1B),17 -> 12,High,Verified,
2012_1B_19,2012,1B,19,1B1 (easier),18,13,,2012.JPG,Table 1 (Paper 1B),18 -> 13,High,Verified,
2012_1B_20,2012,1B,20,1B1 (easier),19,14,,2012.JPG,Table 1 (Paper 1B),19 -> 14,High,Verified,
2012_1B_21,2012,1B,21,1B1 (easier),20,15,,2012.JPG,Table 1 (Paper 1B),20 -> 15,High,Verified,
2012_1B_22,2012,1B,22,1B1 (easier),21,16,,2012.JPG,Table 1 (Paper 1B),21 -> 16,High,Verified,
2012_1B_23,2012,1B,23,1B1 (easier),22,18,,2012.JPG,Table 1 (Paper 1B),22 -> 18,High,Verified,Audited correction
2012_1B_24,2012,1B,24,1B1 (easier),23,19,,2012.JPG,Table 1 (Paper 1B),23 -> 19,High,Verified,
2012_1B_25,2012,1B,25,1B1 (easier),24,20,,2012.JPG,Table 1 (Paper 1B),24 -> 20,High,Verified,
2012_1B_26,2012,1B,26,1B1 (easier),25,21,,2012.JPG,Table 1 (Paper 1B),25 -> 21,High,Verified,
2012_1B_27,2012,1B,27,1B1 (easier),26,22,,2012.JPG,Table 1 (Paper 1B),26 -> 22,High,Verified,
2012_1B_28,2012,1B,28,1B1 (easier),27,24,,2012.JPG,Table 1 (Paper 1B),27 -> 24,High,Verified,
2012_1B_29,2012,1B,29,1B1 (easier),28,25,,2012.JPG,Table 1 (Paper 1B),28 -> 25,High,Verified,
2012_1B_30,2012,1B,30,1B1 (easier),29,26,,2012.JPG,Table 1 (Paper 1B),29 -> 26,High,Verified,
2012_1B_31,2012,1B,31,1B1 (easier),30,27,,2012.JPG,Table 1 (Paper 1B),30 -> 27,High,Verified,
2012_1B_32,2012,1B,32,1B1 (easier),31,29,,2012.JPG,Table 1 (Paper 1B),31 -> 29,High,Verified,
2012_1B_33,2012,1B,33,1B1 (easier),32,30,,2012.JPG,Table 1 (Paper 1B),32 -> 30,High,Verified,
2012_1B_34,2012,1B,34,1B1 (easier),33,31,,2012.JPG,Table 1 (Paper 1B),33 -> 31,High,Verified,
2012_1B_35,2012,1B,35,1B1 (easier),34,32,,2012.JPG,Table 1 (Paper 1B),34 -> 32,High,Verified,
2012_1B_36,2012,1B,36,1B1 (easier),35,34,,2012.JPG,Table 1 (Paper 1B),35 -> 34,High,Verified,
2012_1B_37,2012,1B,37,1B1 (easier),36,35,,2012.JPG,Table 1 (Paper 1B),36 -> 35,High,Verified,
2012_1B_38,2012,1B,38,1B1 (easier),37,36,,2012.JPG,Table 1 (Paper 1B),37 -> 36,High,Verified,
2012_1B_39,2012,1B,39,1B1 (easier),38,38,,2012.JPG,Table 1 (Paper 1B),38 -> 38,High,Verified,
2012_1B_40,2012,1B,40,1B1 (easier),39,39,,2012.JPG,Table 1 (Paper 1B),39 -> 39,High,Verified,
2012_1B_41,2012,1B,41,1B1 (easier),40,40,,2012.JPG,Table 1 (Paper 1B),40 -> 40,High,Verified,
2012_1B_42,2012,1B,42,1B1 (easier),41,42,,2012.JPG,Table 1 (Paper 1B),41 -> 42,High,Verified,
2012_1B_43,2012,1B,43,1B1 (easier),42,43,,2012.JPG,Table 1 (Paper 1B),42 -> 43,High,Verified,
2012_1B_44,2012,1B,44,1B1 (easier),43,45,,2012.JPG,Table 1 (Paper 1B),43 -> 45,High,Verified,Audited correction
2012_3B_01,2012,3B,1,3B1 (easier),0,0,,2012.JPG,Table 2 (Paper 3B),0 -> 0,High,Verified,
2012_3B_02,2012,3B,2,3B1 (easier),1,0,,2012.JPG,Table 2 (Paper 3B),1 -> 0,High,Verified,
2012_3B_03,2012,3B,3,3B1 (easier),2,1,,2012.JPG,Table 2 (Paper 3B),2 -> 1,High,Verified,
2012_3B_04,2012,3B,4,3B1 (easier),3,1,,2012.JPG,Table 2 (Paper 3B),3 -> 1,High,Verified,
2012_3B_05,2012,3B,5,3B1 (easier),4,1,,2012.JPG,Table 2 (Paper 3B),4 -> 1,High,Verified,
2012_3B_06,2012,3B,6,3B1 (easier),5,1,,2012.JPG,Table 2 (Paper 3B),5 -> 1,High,Verified,
2012_3B_07,2012,3B,7,3B1 (easier),6,2,,2012.JPG,Table 2 (Paper 3B),6 -> 2,High,Verified,
2012_3B_08,2012,3B,8,3B1 (easier),7,2,,2012.JPG,Table 2 (Paper 3B),7 -> 2,High,Verified,
2012_3B_09,2012,3B,9,3B1 (easier),8,2,,2012.JPG,Table 2 (Paper 3B),8 -> 2,High,Verified,
2012_3B_10,2012,3B,10,3B1 (easier),9,2,,2012.JPG,Table 2 (Paper 3B),9 -> 2,High,Verified,
2012_3B_11,2012,3B,11,3B1 (easier),10,3,,2012.JPG,Table 2 (Paper 3B),10 -> 3,High,Verified,
2012_3B_12,2012,3B,12,3B1 (easier),11,3,,2012.JPG,Table 2 (Paper 3B),11 -> 3,High,Verified,
2012_3B_13,2012,3B,13,3B1 (easier),12,3,,2012.JPG,Table 2 (Paper 3B),12 -> 3,High,Verified,
2012_3B_14,2012,3B,14,3B1 (easier),13,4,,2012.JPG,Table 2 (Paper 3B),13 -> 4,High,Verified,
2012_3B_15,2012,3B,15,3B1 (easier),14,4,,2012.JPG,Table 2 (Paper 3B),14 -> 4,High,Verified,
2012_3B_16,2012,3B,16,3B1 (easier),15,4,,2012.JPG,Table 2 (Paper 3B),15 -> 4,High,Verified,
2012_3B_17,2012,3B,17,3B1 (easier),16,4,,2012.JPG,Table 2 (Paper 3B),16 -> 4,High,Verified,
2012_3B_18,2012,3B,18,3B1 (easier),17,5,,2012.JPG,Table 2 (Paper 3B),17 -> 5,High,Verified,
2012_3B_19,2012,3B,19,3B1 (easier),18,5,,2012.JPG,Table 2 (Paper 3B),18 -> 5,High,Verified,
2012_3B_20,2012,3B,20,3B1 (easier),19,5,,2012.JPG,Table 2 (Paper 3B),19 -> 5,High,Verified,
2012_3B_21,2012,3B,21,3B1 (easier),20,6,,2012.JPG,Table 2 (Paper 3B),20 -> 6,High,Verified,
2012_3B_22,2012,3B,22,3B1 (easier),21,6,,2012.JPG,Table 2 (Paper 3B),21 -> 6,High,Verified,
2012_3B_23,2012,3B,23,3B1 (easier),22,7,,2012.JPG,Table 2 (Paper 3B),22 -> 7,High,Verified,
2012_3B_24,2012,3B,24,3B1 (easier),23,8,,2012.JPG,Table 2 (Paper 3B),23 -> 8,High,Verified,
2012_3B_25,2012,3B,25,3B1 (easier),24,8,,2012.JPG,Table 2 (Paper 3B),24 -> 8,High,Verified,
2012_3B_26,2012,3B,26,3B1 (easier),25,9,,2012.JPG,Table 2 (Paper 3B),25 -> 9,High,Verified,
2012_3B_27,2012,3B,27,3B1 (easier),26,10,,2012.JPG,Table 2 (Paper 3B),26 -> 10,High,Verified,
2012_3B_28,2012,3B,28,3B1 (easier),27,11,,2012.JPG,Table 2 (Paper 3B),27 -> 11,High,Verified,
2012_3B_29,2012,3B,29,3B1 (easier),28,12,,2012.JPG,Table 2 (Paper 3B),28 -> 12,High,Verified,
2012_3B_30,2012,3B,30,3B1 (easier),29,14,,2012.JPG,Table 2 (Paper 3B),29 -> 14,High,Verified,
2012_3B_31,2012,3B,31,3B1 (easier),30,15,,2012.JPG,Table 2 (Paper 3B),30 -> 15,High,Verified,
2012_3B_32,2012,3B,32,3B1 (easier),31,16,,2012.JPG,Table 2 (Paper 3B),31 -> 16,High,Verified,
2012_3B_33,2012,3B,33,3B1 (easier),32,18,,2012.JPG,Table 2 (Paper 3B),32 -> 18,High,Verified,
2012_3B_34,2012,3B,34,3B1 (easier),33,19,,2012.JPG,Table 2 (Paper 3B),33 -> 19,High,Verified,
2012_3B_35,2012,3B,35,3B1 (easier),34,21,,2012.JPG,Table 2 (Paper 3B),34 -> 21,High,Verified,
2012_3B_36,2012,3B,36,3B1 (easier),35,22,,2012.JPG,Table 2 (Paper 3B),35 -> 22,High,Verified,
2012_3B_37,2012,3B,37,3B1 (easier),36,23,,2012.JPG,Table 2 (Paper 3B),36 -> 23,High,Verified,
2012_3B_38,2012,3B,38,3B1 (easier),37,25,,2012.JPG,Table 2 (Paper 3B),37 -> 25,High,Verified,
2012_3B_39,2012,3B,39,3B1 (easier),38,26,,2012.JPG,Table 2 (Paper 3B),38 -> 26,High,Verified,
2012_3B_40,2012,3B,40,3B1 (easier),39,28,,2012.JPG,Table 2 (Paper 3B),39 -> 28,High,Verified,
2012_3B_41,2012,3B,41,3B1 (easier),40,29,,2012.JPG,Table 2 (Paper 3B),40 -> 29,High,Verified,
2012_3B_42,2012,3B,42,3B1 (easier),41,31,,2012.JPG,Table 2 (Paper 3B),41 -> 31,High,Verified,
2012_3B_43,2012,3B,43,3B1 (easier),42,32,,2012.JPG,Table 2 (Paper 3B),42 -> 32,High,Verified,
2012_3B_44,2012,3B,44,3B1 (easier),43,34,,2012.JPG,Table 2 (Paper 3B),43 -> 34,High,Verified,
2012_3B_45,2012,3B,45,3B1 (easier),44,36,,2012.JPG,Table 2 (Paper 3B),44 -> 36,High,Verified,
2012_3B_46,2012,3B,46,3B1 (easier),45,39,,2012.JPG,Table 2 (Paper 3B),45 -> 39,High,Verified,
2012_3B_47,2012,3B,47,3B1 (easier),46,42,,2012.JPG,Table 2 (Paper 3B),46 -> 42,High,Verified,
